#
# Generated by M. Cushing, Mon Sep 25 11:37:55 2017
#
# Line list for the Lp3 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 132     |  3.9333635          |            Sky    | 10.0          | L          | 5          
 132     |  3.9349001          |            Sky    | 15.0          | L          | 5          
 133     |  3.8748733          |            Sky    |  7.0          | L          | 5          
 133     |  3.8758966          |            Sky    | 15.0          | L          | 5          
 133     |  3.8769294          |            Sky    |  5.0          | L          | 5          
 133     |  3.8779756          |            Sky    | 15.0          | L          | 5          
 133     |  3.8790295          |            Sky    | 15.0          | L          | 5          
 133     |  3.8800951          |            Sky    | 15.0          | L          | 5          
 133     |  3.8811714          |            Sky    | 15.0          | L          | 5          
 133     |  3.8822599          |            Sky    | 15.0          | L          | 5          
 133     |  3.8833581          |            Sky    | 15.0          | L          | 5          
 133     |  3.8844678          |            Sky    | 15.0          | L          | 5          
 133     |  3.8855892          |            Sky    | 15.0          | L          | 5          
 133     |  3.8867209          |            Sky    | 15.0          | L          | 5          
 133     |  3.8878628          |            Sky    | 15.0          | L          | 5          
 133     |  3.8890160          |            Sky    | 15.0          | L          | 5          
 133     |  3.8901807          |            Sky    | 15.0          | L          | 5          
 133     |  3.8913562          |            Sky    | 15.0          | L          | 5          
 133     |  3.8925418          |            Sky    | 15.0          | L          | 5          
 133     |  3.8937407          |            Sky    | 15.0          | L          | 5          
 133     |  3.8949479          |            Sky    | 15.0          | L          | 5          
 133     |  3.8961733          |            Sky    | 15.0          | L          | 5          
 133     |  3.8974016          |            Sky    | 15.0          | L          | 5          
 133     |  3.8986421          |            Sky    | 15.0          | L          | 5          
 133     |  3.9050219          |            Sky    | 15.0          | L          | 5          
 134     |  3.8472358          |            Sky    |  6.0          | L          | 5          
 134     |  3.8509864          |            Sky    |  5.0          | L          | 5          
 134     |  3.8542742          |            Sky    |  5.0          | L          | 5          
 134     |  3.8550474          |            Sky    |  4.0          | L          | 5          
 134     |  3.8556204          |            Sky    |  4.0          | L          | 5          
 134     |  3.8561718          |            Sky    |  5.0          | L          | 5          
 134     |  3.8566522          |            Sky    |  5.0          | L          | 5          
 134     |  3.8608139          |            Sky    |  6.0          | L          | 5          
 134     |  3.8616709          |            Sky    |  6.0          | L          | 5          
