#
# Generated by M. Cushing, Sun Sep 24 13:42:14 2017
#
# Line list for the Lp1 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 142     |  3.6316870          |            Sky    |  4.0          | L          | 4          
 142     |  3.6345935          |            Sky    | 12.0          | L          | 5          
 142     |  3.6370243          |            Sky    | 10.0          | L          | 5          
 142     |  3.6459856          |            Sky    |  7.0          | L          | 5          
 142     |  3.6465736          |            Sky    |  5.0          | L          | 5          
 143     |  3.6056427          |            Sky    |  6.0          | L          | 5          
 143     |  3.6066654          |            Sky    |  6.0          | L          | 5          
 143     |  3.6080000          |            Sky    |  8.0          | L          | 5          
 143     |  3.6102501          |            Sky    | 10.0          | L          | 5          
 143     |  3.6123459          |            Sky    |  4.0          | L          | 4          
 143     |  3.6136723          |            Sky    | 12.0          | L          | 5          
 143     |  3.6172348          |            Sky    | 12.0          | L          | 5          
 143     |  3.6214075          |            Sky    | 12.0          | L          | 5          
 143     |  3.6256414          |            Sky    |  6.0          | L          | 4          
 143     |  3.6263600          |            Sky    |  4.0          | L          | 5          
 143     |  3.6272906          |            Sky    |  4.0          | L          | 5          
 143     |  3.6316870          |            Sky    |  4.0          | L          | 4          
 144     |  3.5813385          |            Sky    |  8.0          | L          | 5          
 144     |  3.5819804          |            Sky    |  6.0          | L          | 5          
 144     |  3.5841506          |            Sky    |  3.0          | L          | 4          
 144     |  3.5847592          |            Sky    |  8.0          | L          | 5          
 144     |  3.5922435          |            Sky    |  4.0          | L          | 4          
 144     |  3.5971710          |            Sky    | 12.0          | L          | 5          
 144     |  3.6006254          |            Sky    | 12.0          | L          | 5          
 144     |  3.6050928          |            Sky    |  5.0          | L          | 5          
 144     |  3.6066654          |            Sky    |  5.0          | L          | 5          
 144     |  3.6080000          |            Sky    |  8.0          | L          | 5          
 145     |  3.5595621          |            Sky    |  4.0          | L          | 5          
 145     |  3.5599482          |            Sky    |  4.0          | L          | 5          
 145     |  3.5603068          |            Sky    |  4.0          | L          | 5          
 145     |  3.5647473          |            Sky    |  2.0          | L          | 4          
 145     |  3.5665136          |            Sky    |  6.0          | L          | 5          
 145     |  3.5673243          |            Sky    |  4.0          | L          | 5          
 145     |  3.5676744          |            Sky    |  4.0          | L          | 5          
 145     |  3.5716455          |            Sky    |  6.0          | L          | 5          
 145     |  3.5721127          |            Sky    |  4.0          | L          | 5          
 145     |  3.5813385          |            Sky    |  8.0          | L          | 5          
 145     |  3.5819804          |            Sky    |  6.0          | L          | 5          
 145     |  3.5841506          |            Sky    |  3.0          | L          | 4          
 146     |  3.5354307          |            Sky    |  3.0          | L          | 5          
 146     |  3.5357110          |            Sky    |  3.0          | L          | 5          
 146     |  3.5359523          |            Sky    |  3.0          | L          | 5          
 146     |  3.5394543          |            Sky    |  4.0          | L          | 5          
 146     |  3.5408725          |            Sky    |  5.0          | L          | 5          
 146     |  3.5417422          |            Sky    |  6.0          | L          | 5          
 146     |  3.5426668          |            Sky    |  5.0          | L          | 5          
 146     |  3.5431088          |            Sky    |  5.0          | L          | 5          
 146     |  3.5438220          |            Sky    |  8.0          | L          | 5          
 146     |  3.5449576          |            Sky    |  5.0          | L          | 5          
