#
# Generated by M. Cushing, Sun Sep 24 18:20:47 2017
#
# Line list for the Lp2 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 140     |  3.6913355          |            Sky    |  5.0          | L          | 5          
 140     |  3.7102987          |            Sky    |  9.0          | L          | 5          
 141     |  3.6617623          |            Sky    | 10.0          | L          | 5          
 141     |  3.6681683          |            Sky    |  5.0          | L          | 5          
 141     |  3.6719701          |            Sky    |  6.0          | L          | 5          
 141     |  3.6728775          |            Sky    | 10.0          | L          | 5          
 141     |  3.6739017          |            Sky    | 10.0          | L          | 5          
 141     |  3.6762967          |            Sky    |  2.0          | L          | 4          
 141     |  3.6795252          |            Sky    |  8.0          | L          | 5          
 141     |  3.6819465          |            Sky    |  5.0          | L          | 5          
 142     |  3.6316870          |            Sky    |  4.0          | L          | 4          
 142     |  3.6345935          |            Sky    | 12.0          | L          | 5          
 142     |  3.6370243          |            Sky    | 10.0          | L          | 5          
 142     |  3.6459856          |            Sky    |  7.0          | L          | 5          
 142     |  3.6465736          |            Sky    |  5.0          | L          | 5          
 143     |  3.6050928          |            Sky    |  5.0          | L          | 5          
 143     |  3.6066654          |            Sky    |  6.0          | L          | 5          
 143     |  3.6080000          |            Sky    |  8.0          | L          | 5          
 143     |  3.6102501          |            Sky    | 10.0          | L          | 5          
 143     |  3.6123459          |            Sky    |  4.0          | L          | 4          
 143     |  3.6136723          |            Sky    | 12.0          | L          | 5          
 143     |  3.6172348          |            Sky    | 12.0          | L          | 5          
 143     |  3.6214075          |            Sky    | 12.0          | L          | 5          
 143     |  3.6256414          |            Sky    |  6.0          | L          | 4          
 143     |  3.6263600          |            Sky    |  4.0          | L          | 5          
 143     |  3.6272906          |            Sky    |  4.0          | L          | 5          
 144     |  3.5813385          |            Sky    |  8.0          | L          | 5          
 144     |  3.5819804          |            Sky    |  6.0          | L          | 5          
 144     |  3.5841506          |            Sky    |  3.0          | L          | 5          
 144     |  3.5847592          |            Sky    |  8.0          | L          | 5          
 144     |  3.5922435          |            Sky    |  4.0          | L          | 4          
 144     |  3.5971710          |            Sky    | 12.0          | L          | 5          
 144     |  3.6006254          |            Sky    | 12.0          | L          | 5          
 144     |  3.6050928          |            Sky    |  5.0          | L          | 5          
 144     |  3.6056427          |            Sky    |  6.0          | L          | 5          
 144     |  3.6066654          |            Sky    |  6.0          | L          | 5          
 144     |  3.6080000          |            Sky    |  8.0          | L          | 5          
