#
# Generated by M. Cushing, Wed Oct 18 13:54:48 2017
#
# Line list for the J0 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 488     |  1.09446207         |          Th II    |  0.8          | G          | 5          
 488     |  1.09452427         |          Th II    |  2.0          | G          | 5          
 488     |  1.09508672         |         Ar I *    |  2.0          | G          | 5          
 488     |  1.09537273         |         Ar I *    |  2.0          | G          | 5          
 489     |  1.09165686         |           Th I    |  2.0          | G          | 5          
 489     |  1.09264365         |          Ar II    |  2.0          | G          | 5          
 490     |  1.08932664         |           Th I    |  2.0          | G          | 5          
 490     |  1.08953465         |           Ar I    |  2.0          | G          | 5          
 490     |  1.09041750         |           Th I    |  2.0          | G          | 5          
 491     |  1.08703167         |          Ar II    |  0.8          | G          | 5          
 491     |  1.08729408         |           Th I    |  2.0          | G          | 5          
 491     |  1.08839231         |           Ar I    |  2.0          | G          | 5          
 492     |  1.08473746         |           Th I    |  1.0          | G          | 5          
 492     |  1.08640532         |           Ar I    |  2.0          | G          | 5          
 492     |  1.08654782         |           Th I    |  2.0          | G          | 5          
 493     |  1.08473746         |           Th I    |  1.5          | G          | 5          
 494     |  1.08068759         |           Th I    |  2.0          | G          | 5          
 494     |  1.08099740         |         Ar I *    |  0.6          | G          | 5          
 494     |  1.08152410         |           Th I    |  0.8          | G          | 5          
 494     |  1.08158600         |          Ar II    |  0.7          | G          | 5          
 494     |  1.08163558         |           Th I    |  0.7          | G          | 5          
 495     |  1.07888649         |           Th I    |  0.7          | G          | 5          
 495     |  1.07893195         |           Th I    |  0.7          | G          | 5          
 495     |  1.08068759         |           Th I    |  2.0          | G          | 5          
 495     |  1.08099740         |         Ar I *    |  2.0          | G          | 5          
 496     |  1.07763202         |         Ar I *    |  2.0          | G          | 5          
 496     |  1.07799322         |           Th I    |  2.0          | G          | 5          
 496     |  1.07888649         |           Th I    |  0.6          | G          | 5          
 497     |  1.07572758         |           Th I    |  2.0          | G          | 5          
 497     |  1.07620931         |           Ar I    |  2.0          | G          | 5          
 498     |  1.07251681         |           Ar I    |  2.0          | G          | 5          
 498     |  1.07268615         |          Th II    |  2.0          | G          | 5          
 498     |  1.07283566         |           Th I    |  2.0          | G          | 5          
 498     |  1.07298649         |           Th I    |  2.0          | G          | 5          
 498     |  1.07351836         |           Th I    |  2.0          | G          | 5          
 498     |  1.07367957         |         Ar I *    |  2.0          | G          | 5          
 499     |  1.07039181         |           Ar I    |  2.0          | G          | 5          
 499     |  1.07157231         |         Ar I *    |  2.0          | G          | 5          
 499     |  1.07251681         |           Ar I    |  2.0          | G          | 5          
 499     |  1.07268615         |          Th II    |  2.0          | G          | 5          
 499     |  1.07283566         |           Th I    |  2.0          | G          | 5          
 499     |  1.07298649         |           Th I    |  2.0          | G          | 5          
 500     |  1.06846995         |           Ar I    |  2.0          | G          | 5          
 500     |  1.06863317         |           Ar I    |  2.0          | G          | 5          
 500     |  1.07039181         |           Ar I    |  2.0          | G          | 5          
 501     |  1.06671537         |           Th I    |  2.0          | G          | 5          
 501     |  1.06812889         |           Th I    |  2.0          | G          | 5          
 501     |  1.06846995         |           Ar I    |  2.0          | G          | 5          
 501     |  1.06863317         |           Ar I    |  2.0          | G          | 5          
 502     |  1.06671537         |           Th I    |  2.0          | G          | 5          
 503     |  1.06371955         |         Ar I *    |  2.0          | G          | 5          
 503     |   1.0641037         |          Ar II    |  2.0          | G          | 5          
