#
# Generated by M. Cushing, Tue Oct 17 10:03:29 2017
#
# Line list for the H2 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 328     |  1.59040309         |         Ar I *    |  2.0          | G          | 5          
 328     |  1.59264738         |           Th I    |  2.0          | G          | 5          
 328     |  1.59367698         |          Th II    |  1.0          | G          | 5          
 328     |    1.594073         |  Ar II / Th II    |  0.6          | G          | 5          
 328     |  1.59588053         |           Th I    |  2.0          | G          | 5          
 328     |  1.59938589         |           Ar I    |  2.0          | G          | 5          
 329     |  1.58875057         |           Ar I    |  2.0          | G          | 5          
 329     |  1.59264738         |           Th I    |  2.0          | G          | 5          
 330     |  1.58210956         |         Ar I *    |  2.0          | G          | 5          
 330     |  1.58294981         |           Th I    |  2.0          | G          | 5          
 330     |  1.58360713         |           Th I    |  2.0          | G          | 5          
 330     |  1.58520525         |           Th I    |  1.5          | G          | 5          
 330     |  1.58875057         |           Ar I    |  2.0          | G          | 5          
 330     |  1.59040309         |         Ar I *    |  2.0          | G          | 5          
 331     |  1.57809219         |           Ar I    |  2.0          | G          | 5          
 331     |  1.57974668         |         Ar I *    |  2.0          | G          | 5          
 331     |  1.58210956         |         Ar I *    |  2.0          | G          | 5          
 332     |  1.57392066         |           Ar I    |  2.0          | G          | 5          
 332     |  1.57481813         |           Th I    |  2.0          | G          | 5          
 332     |    1.576439         |           Th I    |  2.0          | G          | 5          
 332     |   1.5771870         |          Th II    |  2.0          | G          | 5          
 332     |  1.57809219         |           Ar I    |  2.0          | G          | 5          
 332     |  1.57974668         |         Ar I *    |  2.0          | G          | 5          
 333     |  1.57055889         |           Th I    |  2.0          | G          | 5          
 333     |  1.57174398         |           Th I    |  2.0          | G          | 5          
 333     |  1.57392066         |           Ar I    |  2.0          | G          | 5          
 334     |  1.56447201         |          Th II    |  1.5          | G          | 5          
 334     |    1.565208         |          Ar II    |  2.0          | G          | 5          
 334     |  1.56804386         |           Th I    |  2.0          | G          | 5          
 335     |   1.5613194         |           Th I    |  1.2          | G          | 5          
 335     |  1.56325406         |           Th I    |  2.0          | G          | 5          
 335     |    1.564144         |          Th II    |  2.0          | G          | 5          
 335     |  1.56447201         |          Th II    |  1.5          | G          | 5          
 335     |    1.565208         |          Ar II    |  2.0          | G          | 5          
 336     |  1.55559241         |           Th I    |  2.0          | G          | 5          
 336     |  1.55597122         |           Ar I    |  2.0          | G          | 5          
 336     |  1.55638092         |                   |  1.0          | G          | 5          
 336     |  1.55737521         |           Th I    |  2.0          | G          | 5          
 336     |  1.55763687         |           Th I    |  1.0          | G          | 5          
 336     |   1.5580120         |           Th I    |  1.0          | G          | 5          
 336     |  1.55808313         |           Th I    |  1.5          | G          | 5          
 336     |   1.5587889         |           Th I    |  2.0          | G          | 5          
 336     |  1.55894794         |           Th I    |  2.0          | G          | 5          
 336     |  1.56029357         |           Th I    |  2.0          | G          | 5          
 337     |  1.55206728         |           Th I    |  2.0          | G          | 5          
 337     |  1.55469081         |           Th I    |  2.0          | G          | 5          
 337     |  1.55597122         |           Ar I    |  2.0          | G          | 5          
 338     |  1.54770897         |           Th I    |  0.6          | G          | 4          
 338     |    1.550696         |                   |  2.0          | G          | 5          
