#
# Generated by M. Cushing, Tue Oct 17 12:30:56 2017
#
# Line list for the Kgas mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 224     |  2.31599258         |           Th I    |  2.0          | G          | 5          
 224     |   2.3181779         |           Th I    |  2.0          | G          | 5          
 224     |    2.319182         |           Ar I    |  2.0          | G          | 5          
 225     |    2.296574         |                   |  2.0          | G          | 5          
 225     |   2.2971016         |           Th I    |  2.0          | G          | 5          
 225     |  2.29783459         |         Ar I *    |  2.0          | G          | 5          
 225     |    2.298462         |           Th I    |  2.0          | G          | 5          
 225     |    2.301026         |          Th II    |  2.0          | G          | 5          
 225     |    2.301328         |           Th I    |  2.0          | G          | 5          
 225     |    2.304331         |           Th I    |  2.0          | G          | 5          
 225     |    2.308199         |          Th II    |  2.0          | G          | 5          
 226     |   2.2840812         |           Th I    |  2.0          | G          | 5          
 226     |   2.2850178         |           Th I    |  2.0          | G          | 5          
 226     |  2.28578581         |           Th I    |  2.0          | G          | 5          
 226     |   2.2861403         |           Th I    |  2.0          | G          | 5          
 226     |  2.28703433         |           Th I    |  2.0          | G          | 5          
 226     |    2.288135         |           Th I    |  2.0          | G          | 5          
 226     |   2.2883894         |         Ar I *    |  2.0          | G          | 5          
 226     |    2.292263         |           Th I    |  0.8          | G          | 5          
 226     |    2.294340         |          Th II    |  2.0          | G          | 5          
 226     |    2.296574         |                   |  2.0          | G          | 5          
 226     |   2.2971016         |           Th I    |  2.0          | G          | 5          
 226     |  2.29783459         |         Ar I *    |  2.0          | G          | 5          
 227     |    2.275645         |           Th I    |  2.0          | G          | 5          
 227     |    2.276632         |          Ar II    |  2.0          | G          | 5          
 227     |    2.280376         |          Ar II    |  2.0          | G          | 5          
 227     |   2.2835741         |           Th I    |  2.0          | G          | 5          
 227     |   2.2840812         |           Th I    |  2.0          | G          | 5          
 227     |   2.2850178         |           Th I    |  2.0          | G          | 5          
 227     |  2.28578581         |           Th I    |  2.0          | G          | 5          
 227     |   2.2861403         |           Th I    |  2.0          | G          | 5          
 227     |  2.28703433         |           Th I    |  2.0          | G          | 5          
 227     |   2.2883894         |         Ar I *    |  2.0          | G          | 5          
 228     |  2.26523683         |           Th I    |  2.0          | G          | 5          
 228     |  2.27163767         |           Th I    |  2.0          | G          | 5          
 229     |   2.2539737         |         Ar I *    |  2.0          | G          | 5          
 229     |  2.25439164         |           Th I    |  2.0          | G          | 5          
 229     |    2.255822         |          Ar II    |  2.0          | G          | 5          
 229     |    2.257773         |          Th II    |  2.0          | G          | 5          
 229     |    2.258844         |          Th II    |  2.0          | G          | 5          
