#
# Generated by M. Cushing, Tue Oct 17 10:47:30 2017
#
# Line list for the K1 mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 251     |  2.06857621         |           Th I    |  1.0          | G          | 5          
 251     |  2.06977241         |          Th II    |  1.0          | G          | 5          
 251     |    2.070803         |           Th I    |  1.0          | G          | 5          
 251     |    2.072134         |          Ar II    |  0.6          | G          | 5          
 251     |  2.07219889         |         Ar I *    |  1.0          | G          | 5          
 251     |  2.07392201         |         Ar I *    |  1.0          | G          | 5          
 251     |  2.07409918         |         Ar I *    |  1.0          | G          | 5          
 252     |    2.056261         |           Ar I    |  1.0          | G          | 5          
 252     |  2.05744263         |         Ar I *    |  1.0          | G          | 5          
 252     |    2.062850         |          Ar II    |  1.0          | G          | 5          
 252     |  2.06400100         |           Th I    |  1.0          | G          | 5          
 252     |  2.06527624         |         Ar I *    |  1.0          | G          | 5          
 253     |    2.046479         |   Ar I / Ar II    |  0.8          | G          | 5          
 253     |    2.047425         |          Th II    |  0.8          | G          | 5          
 253     |    2.056261         |           Ar I    |  0.8          | G          | 5          
 253     |  2.05744263         |         Ar I *    |  1.0          | G          | 5          
 255     |  2.03225535         |           Ar I    |  1.0          | G          | 5          
 255     |    2.034000         |           Ar I    |  1.0          | G          | 5          
 255     |    2.036252         |          Ar II    |  0.8          | G          | 5          
 256     |    2.025119         |          Ar II    |  1.0          | G          | 5          
 256     |    2.029450         |                   |  1.0          | G          | 5          
 256     |  2.03225535         |           Ar I    |  1.0          | G          | 5          
 256     |    2.034000         |           Ar I    |  1.0          | G          | 5          
 256     |    2.035271         |           Th I    |  1.0          | G          | 5          
 257     |    2.017055         |          Th II    |  0.8          | G          | 5          
 257     |  2.01968865         |           Th I    |  1.0          | G          | 5          
 257     |    2.021785         |          Ar II    |  1.0          | G          | 5          
 257     |    2.025119         |          Ar II    |  1.0          | G          | 5          
 258     |  2.00744052         |         Ar I *    |  1.0          | G          | 5          
 258     |    2.011407         |           Th I    |  0.8          | G          | 5          
 258     |    2.012573         |          Ar II    |  1.0          | G          | 5          
 258     |   2.0134197         |           Th I    |  1.0          | G          | 5          
 258     |    2.013896         |   Ar II / Ar I    |  1.0          | G          | 5          
 258     |    2.016356         |           Th I    |  1.0          | G          | 5          
 259     |   1.9997689         |         Ar I *    |  1.0          | G          | 5          
 259     |  2.00108979         |          Th II    |  1.0          | G          | 5          
 259     |  2.00311309         |         Ar I *    |  1.0          | G          | 5          
 259     |    2.003427         |          Ar II    |  1.0          | G          | 5          
 259     |  2.00355675         |         Ar I *    |  1.0          | G          | 5          
 259     |  2.00744052         |         Ar I *    |  1.0          | G          | 5          
 260     |  1.99505093         |         Ar I *    |  1.0          | G          | 5          
 260     |    1.995787         |          Ar II    |  1.0          | G          | 5          
 260     |   1.9997689         |         Ar I *    |  1.0          | G          | 5          
 260     |  2.00108979         |          Th II    |  1.0          | G          | 5          
 260     |  2.00311309         |         Ar I *    |  1.0          | G          | 5          
 260     |    2.003427         |          Ar II    |  1.0          | G          | 5          
 260     |  2.00355675         |         Ar I *    |  1.0          | G          | 5          
 261     |    1.986636         |           Ar I    |  1.0          | G          | 5          
 261     |  1.98676081         |           Ca I    |  1.0          | G          | 5          
 261     |    1.988193         |          Ar II    |  1.0          | G          | 5          
 261     |   1.9887714         |           Th I    |  1.0          | G          | 5          
 261     |    1.990552         |          Ar II    |  1.0          | G          | 5          
 261     |   1.9908552         |         Ar I *    |  1.0          | G          | 5          
 261     |    1.994765         |          ThIII    |  0.8          | G          | 5          
 261     |  1.99505093         |         Ar I *    |  1.0          | G          | 5          
 261     |    1.995787         |          Ar II    |  1.0          | G          | 5          
 261     |  1.99711802         |           Ar I    |  1.0          | G          | 5          
 262     |    1.976885         |          Ar II    |  1.0          | G          | 5          
 262     |  1.97797024         |          Th II    |  1.0          | G          | 5          
 262     |  1.97821756         |           Ca I    |  0.8          | G          | 5          
 262     |    1.978270         |          Ar II    |  0.6          | G          | 5          
 262     |  1.97914234         |           Th I    |  1.0          | G          | 5          
 262     |    1.982913         |           Ar I    |  1.0          | G          | 5          
 262     |    1.986636         |           Ar I    |  1.0          | G          | 5          
 262     |  1.98676081         |           Ca I    |  1.0          | G          | 5          
 263     |    1.971179         |          Ar II    |  1.0          | G          | 5          
 263     |    1.971709         |          Ar II    |  1.0          | G          | 5          
 263     |  1.97468108         |           Th I    |  1.0          | G          | 5          
 263     |    1.976885         |          Ar II    |  1.0          | G          | 5          
 263     |  1.97705621         |           Th I    |  1.0          | G          | 5          
 263     |  1.97797024         |          Th II    |  1.0          | G          | 5          
 263     |  1.97914234         |           Th I    |  1.0          | G          | 5          
 263     |  1.98229091         |         Ar I *    |  1.0          | G          | 5          
 264     |   1.9633592         |         Ar I *    |  1.0          | G          | 5          
 264     |   1.9644249         |          Ar II    |  1.0          | G          | 5          
 264     |   1.9649890         |          Th II    |  1.0          | G          | 5          
 264     |    1.965551         |          Ar II    |  1.0          | G          | 5          
 264     |    1.967133         |          Ar II    |  1.0          | G          | 5          
 264     |  1.96738211         |           Th I    |  1.0          | G          | 5          
 264     |   1.9675264         |           Th I    |  1.0          | G          | 5          
 264     |  1.96798846         |           Th I    |  1.0          | G          | 5          
 264     |    1.971179         |          Ar II    |  1.0          | G          | 5          
 264     |    1.971709         |          Ar II    |  1.0          | G          | 5          
 264     |  1.97468108         |           Th I    |  1.0          | G          | 5          
 265     |  1.96004155         |           Th I    |  1.0          | G          | 5          
 265     |   1.9622494         |           Th I    |  1.0          | G          | 5          
 265     |   1.9633592         |         Ar I *    |  1.0          | G          | 5          
 265     |   1.9649890         |          Th II    |  1.0          | G          | 5          
 265     |    1.965551         |          Ar II    |  1.0          | G          | 5          
 265     |    1.967133         |          Ar II    |  1.0          | G          | 5          
 265     |  1.96738211         |           Th I    |  1.0          | G          | 5          
 266     |  1.95110527         |           Ca I    |  1.0          | G          | 5          
 266     |    1.953333         |          Ar II    |  1.0          | G          | 5          
 267     |    1.943613         |           Th I    |  1.0          | G          | 5          
 267     |  1.94582886         |           Ca I    |  1.0          | G          | 5          
 267     |    1.946474         |          Ar II    |  1.0          | G          | 5          
 267     |   1.9477609         |         Ar I *    |  1.0          | G          | 5          
 267     |    1.947978         |          Th II    |  1.0          | G          | 5          
 267     |   1.9482073         |           Th I    |  1.0          | G          | 5          
 267     |  1.95110527         |           Ca I    |  1.0          | G          | 5          
 268     |  1.93442638         |          Th II    |  1.0          | G          | 5          
 268     |    1.938024         |          Ar II    |  1.0          | G          | 5          
 268     |   1.9396613         |           Th I    |  1.0          | G          | 5          
 268     |   1.9402069         |           Th I    |  1.0          | G          | 5          
 268     |  1.94057622         |           Th I    |  1.0          | G          | 5          
 268     |    1.940809         |          Th II    |  1.0          | G          | 5          
 268     |  1.94582886         |           Ca I    |  1.0          | G          | 5          
 269     |   1.9300178         |         Ar I *    |  1.0          | G          | 5          
 269     |  1.93144574         |           Ca I    |  1.0          | G          | 5          
 269     |   1.9323149         |           Th I    |  1.0          | G          | 5          
 269     |  1.93442638         |          Th II    |  1.0          | G          | 5          
 270     |    1.924927         |           Th I    |  1.0          | G          | 5          
 270     |    1.927919         |           Th I    |  1.0          | G          | 5          
 270     |   1.9300178         |         Ar I *    |  1.0          | G          | 5          
 270     |  1.93144574         |           Ca I    |  1.0          | G          | 5          
