       400.01738   8.6003948e-09
       400.05819   8.6241309e-09
       400.09900   8.6399550e-09
       400.13981   8.6399550e-09
       400.18063   8.6557791e-09
       400.22145   8.6716032e-09
       400.26227   8.6241309e-09
       400.30310   8.5054502e-09
       400.34393   8.3946816e-09
       400.38477   8.4500659e-09
       400.42561   8.6003948e-09
       400.46646   8.6636912e-09
       400.50731   8.6716032e-09
       400.54816   8.6636912e-09
       400.58902   8.5212743e-09
       400.62988   8.3076491e-09
       400.67075   8.4184177e-09
       400.71162   8.6399550e-09
       400.75249   8.7111634e-09
       400.79337   8.7348996e-09
       400.83425   8.7428116e-09
       400.87514   8.7507237e-09
       400.91603   8.7665478e-09
       400.95693   8.7744598e-09
       400.99783   8.7586357e-09
       401.03873   8.7111634e-09
       401.07964   8.6953393e-09
       401.12055   8.7428116e-09
       401.16147   8.7823719e-09
       401.20239   8.7902839e-09
       401.24331   8.7902839e-09
       401.28424   8.7269875e-09
       401.32517   8.5291864e-09
       401.36611   8.4738020e-09
       401.40705   8.6716032e-09
       401.44800   8.7902839e-09
       401.48895   8.7902839e-09
       401.52990   8.7428116e-09
       401.57086   8.7032514e-09
       401.61182   8.7348996e-09
       401.65279   8.7507237e-09
       401.69376   8.7744598e-09
       401.73473   8.7981959e-09
       401.77571   8.7902839e-09
       401.81670   8.7665478e-09
       401.85768   8.7665478e-09
       401.89867   8.7823719e-09
       401.93967   8.7902839e-09
       401.98067   8.8061080e-09
       402.02167   8.8140200e-09
       402.06268   8.8140200e-09
       402.10370   8.8140200e-09
       402.14471   8.8140200e-09
       402.18573   8.8140200e-09
       402.22676   8.7981959e-09
       402.26779   8.7428116e-09
       402.30882   8.6953393e-09
       402.34986   8.7269875e-09
       402.39090   8.7428116e-09
       402.43195   8.7348996e-09
       402.47300   8.7269875e-09
       402.51405   8.6399550e-09
       402.55511   8.4342418e-09
       402.59617   8.3788575e-09
       402.63724   8.4896261e-09
       402.67831   8.5370984e-09
       402.71938   8.4896261e-09
       402.76046   8.5133623e-09
       402.80155   8.6320430e-09
       402.84263   8.7111634e-09
       402.88373   8.6716032e-09
       402.92482   8.4817141e-09
       402.96592   8.4263298e-09
       403.00703   8.6241309e-09
       403.04814   8.7190755e-09
       403.08925   8.7269875e-09
       403.13037   8.6795152e-09
       403.17149   8.5924827e-09
       403.21261   8.6003948e-09
       403.25374   8.6716032e-09
       403.29488   8.7111634e-09
       403.33602   8.7111634e-09
       403.37716   8.6241309e-09
       403.41830   8.5687466e-09
       403.45946   8.6557791e-09
       403.50061   8.7190755e-09
       403.54177   8.6953393e-09
       403.58293   8.6953393e-09
       403.62410   8.6953393e-09
       403.66527   8.6795152e-09
       403.70645   8.7032514e-09
       403.74763   8.7348996e-09
       403.78881   8.7348996e-09
       403.83000   8.7348996e-09
       403.87119   8.7111634e-09
       403.91239   8.6795152e-09
       403.95359   8.6874273e-09
       403.99480   8.7190755e-09
       404.03601   8.7190755e-09
       404.07722   8.7111634e-09
       404.11844   8.7032514e-09
       404.15966   8.6874273e-09
